to_id,from_id,type
168,415,tx
168,404,tx
408,130,tx
408,346,tx
408,303,tx
408,303,tx
408,130,tx
408,130,tx
408,303,tx
70,143,tx
70,143,tx
70,143,tx
262,111,tx
262,347,tx
262,111,tx
209,245,tx
209,245,tx
306,386,tx
399,87,tx
119,151,tx
119,151,tx
119,119,tx
318,318,tx
318,318,tx
205,318,tx
205,93,tx
205,93,tx
181,267,tx
181,267,tx
181,267,tx
181,288,tx
181,267,tx
181,267,tx
181,267,tx
181,267,tx
181,267,tx
181,267,tx
181,267,tx
181,267,tx
181,267,tx
181,267,tx
139,51,tx
139,151,tx
139,151,tx
139,151,tx
139,249,tx
139,151,tx
139,252,tx
139,51,tx
139,51,tx
139,252,tx
139,51,tx
139,51,tx
139,151,tx
139,151,tx
277,395,tx
277,395,tx
277,395,tx
277,395,tx
353,350,tx
353,350,tx
28,312,tx
389,151,tx
389,243,tx
389,243,tx
389,243,tx
68,228,tx
68,228,tx
180,111,tx
180,111,tx
235,151,tx
57,388,tx
57,388,tx
57,388,tx
376,236,tx
376,236,tx
376,236,tx
402,350,tx
402,350,tx
402,402,tx
402,402,tx
402,350,tx
402,402,tx
402,350,tx
292,111,tx
292,111,tx
292,111,tx
292,111,tx
292,111,tx
292,111,tx
292,111,tx
292,111,tx
292,111,tx
292,111,tx
21,47,tx
21,47,tx
21,47,tx
21,47,tx
377,94,tx
39,263,tx
300,145,tx
185,151,tx
185,151,tx
185,151,tx
185,151,tx
359,12,tx
359,12,tx
221,151,tx
221,221,tx
221,221,tx
221,221,tx
221,221,tx
221,221,tx
357,335,tx
283,251,tx
283,283,tx
283,283,tx
283,283,tx
283,283,tx
283,283,tx
283,283,tx
283,283,tx
283,283,tx
283,283,tx
283,283,tx
283,283,tx
283,283,tx
283,251,tx
371,331,tx
371,331,tx
371,331,tx
371,331,tx
371,331,tx
192,249,tx
192,249,tx
192,249,tx
192,249,tx
192,249,tx
192,249,tx
192,249,tx
192,192,tx
192,192,tx
192,192,tx
192,192,tx
192,192,tx
192,192,tx
192,192,tx
192,249,tx
192,249,tx
192,249,tx
192,249,tx
192,249,tx
192,249,tx
192,249,tx
192,192,tx
192,192,tx
192,192,tx
192,192,tx
192,192,tx
192,192,tx
192,192,tx
192,192,tx
192,192,tx
192,249,tx
192,249,tx
192,192,tx
192,192,tx
192,249,tx
192,192,tx
192,192,tx
192,249,tx
192,249,tx
192,249,tx
192,249,tx
192,249,tx
192,192,tx
192,249,tx
192,249,tx
192,249,tx
192,249,tx
192,249,tx
192,192,tx
308,151,tx
308,151,tx
172,151,tx
340,213,tx
340,213,tx
340,213,tx
73,213,tx
73,213,tx
73,213,tx
73,213,tx
73,213,tx
73,213,tx
73,213,tx
73,213,tx
73,213,tx
73,213,tx
73,213,tx
73,213,tx
73,213,tx
73,213,tx
73,213,tx
73,213,tx
73,213,tx
73,213,tx
73,213,tx
73,213,tx
73,213,tx
77,77,tx
69,151,tx
225,289,tx
225,289,tx
225,289,tx
225,289,tx
225,289,tx
225,289,tx
225,289,tx
225,289,tx
225,289,tx
225,289,tx
225,289,tx
225,289,tx
225,289,tx
225,289,tx
225,289,tx
225,289,tx
225,289,tx
225,289,tx
225,289,tx
348,348,tx
348,348,tx
136,289,tx
136,289,tx
244,151,tx
244,137,tx
244,244,tx
244,244,tx
244,244,tx
244,244,tx
244,244,tx
244,244,tx
244,244,tx
265,260,tx
265,260,tx
265,260,tx
265,260,tx
265,260,tx
112,112,tx
112,112,tx
112,112,tx
112,112,tx
112,112,tx
112,112,tx
112,112,tx
112,112,tx
112,112,tx
112,112,tx
112,112,tx
112,112,tx
112,112,tx
170,51,tx
170,51,tx
129,129,tx
129,328,tx
129,328,tx
129,328,tx
129,328,tx
129,328,tx
167,231,tx
167,188,tx
254,254,tx
254,254,tx
102,179,tx
102,179,tx
102,211,tx
102,211,tx
102,211,tx
102,211,tx
102,179,tx
102,179,tx
102,211,tx
102,211,tx
102,151,tx
102,151,tx
110,211,tx
89,80,tx
325,350,tx
325,350,tx
325,350,tx
325,350,tx
325,350,tx
325,350,tx
325,350,tx
325,350,tx
238,176,tx
232,249,tx
310,315,tx
329,329,tx
124,317,tx
13,58,tx
13,58,tx
13,58,tx
145,145,tx
145,145,tx
145,145,tx
145,145,tx
145,145,tx
145,145,tx
145,145,tx
145,145,tx
246,364,tx
246,364,tx
246,364,tx
246,364,tx
365,151,tx
365,365,tx
365,118,tx
365,84,tx
365,84,tx
380,350,tx
380,350,tx
250,151,tx
367,151,tx
367,151,tx
8,57,tx
8,386,tx
370,275,tx
370,275,tx
370,275,tx
370,275,tx
169,280,tx
169,111,tx
169,111,tx
304,361,tx
304,151,tx
304,151,tx
304,151,tx
296,326,tx
296,296,tx
296,350,tx
233,352,tx
233,233,tx
233,233,tx
233,233,tx
66,111,tx
123,21,tx
324,366,tx
324,366,tx
324,366,tx
324,132,tx
324,132,tx
324,240,tx
324,240,tx
324,132,tx
324,132,tx
324,240,tx
324,366,tx
324,366,tx
344,393,tx
247,394,tx
97,272,tx
97,272,tx
97,361,tx
197,385,tx
151,151,tx
151,151,tx
107,376,tx
107,98,tx
107,376,tx
101,101,tx
212,200,tx
212,111,tx
140,145,tx
140,145,tx
140,145,tx
154,145,tx
297,297,tx
297,297,tx
297,297,tx
55,414,tx
55,414,tx
55,414,tx
55,414,tx
55,414,tx
55,415,tx
55,415,tx
55,151,tx
55,151,tx
55,415,tx
55,414,tx
55,151,tx
55,151,tx
55,415,tx
55,414,tx
55,414,tx
55,414,tx
55,151,tx
219,219,tx
219,219,tx
219,151,tx
219,219,tx
219,219,tx
219,92,tx
219,92,tx
178,151,tx
339,346,tx
164,267,tx
46,267,tx
135,151,tx
86,111,tx
133,133,tx
133,133,tx
133,133,tx
133,133,tx
133,133,tx
133,133,tx
133,133,tx
133,133,tx
133,133,tx
133,133,tx
133,133,tx
133,133,tx
133,133,tx
133,133,tx
133,133,tx
133,133,tx
133,133,tx
133,133,tx
133,133,tx
133,133,tx
133,133,tx
133,133,tx
133,133,tx
133,133,tx
133,133,tx
133,133,tx
133,133,tx
133,133,tx
286,362,tx
305,155,tx
305,386,tx
305,386,tx
305,386,tx
305,386,tx
305,386,tx
305,386,tx
305,386,tx
305,386,tx
305,386,tx
336,111,tx
177,267,tx
177,267,tx
177,267,tx
177,267,tx
177,267,tx
177,267,tx
177,267,tx
204,237,tx
204,151,tx
204,151,tx
204,151,tx
204,151,tx
204,151,tx
204,151,tx
204,151,tx
204,151,tx
204,151,tx
204,151,tx
204,151,tx
204,151,tx
204,151,tx
204,151,tx
204,151,tx
204,151,tx
204,151,tx
204,151,tx
204,151,tx
204,151,tx
204,151,tx
204,151,tx
204,151,tx
204,151,tx
204,151,tx
204,151,tx
204,151,tx
38,151,tx
38,151,tx
279,301,tx
375,151,tx
72,1,tx
258,258,tx
258,258,tx
258,258,tx
258,151,tx
258,151,tx
258,151,tx
258,258,tx
258,258,tx
258,258,tx
258,258,tx
258,258,tx
258,151,tx
258,151,tx
258,151,tx
258,151,tx
316,316,tx
316,316,tx
316,316,tx
316,316,tx
316,316,tx
229,151,tx
401,111,tx
401,111,tx
401,111,tx
189,151,tx
190,48,tx
173,48,tx
99,99,tx
99,99,tx
99,99,tx
99,151,tx
99,111,tx
99,151,tx
99,111,tx
99,151,tx
99,99,tx
99,99,tx
99,99,tx
99,99,tx
99,99,tx
99,99,tx
99,151,tx
99,111,tx
99,151,tx
99,99,tx
99,99,tx
99,99,tx
413,6,tx
227,347,tx
338,215,tx
313,151,tx
287,210,tx
287,210,tx
287,210,tx
287,210,tx
199,309,tx
193,322,tx
276,132,tx
276,132,tx
276,132,tx
276,132,tx
276,132,tx
276,132,tx
276,132,tx
276,132,tx
276,132,tx
276,132,tx
276,132,tx
276,132,tx
276,132,tx
276,132,tx
276,132,tx
276,132,tx
276,132,tx
79,290,tx
79,290,tx
372,111,tx
372,111,tx
372,111,tx
372,111,tx
379,245,tx
355,249,tx
323,198,tx
323,137,tx
323,137,tx
323,137,tx
261,111,tx
261,111,tx
261,111,tx
261,111,tx
261,111,tx
156,111,tx
156,111,tx
191,20,tx
191,20,tx
191,20,tx
191,20,tx
191,20,tx
191,20,tx
191,20,tx
166,161,tx
166,161,tx
166,161,tx
83,83,tx
83,83,tx
285,343,tx
285,343,tx
285,343,tx
285,343,tx
285,343,tx
340,75,tx
183,349,tx
183,349,tx
183,183,tx
183,183,tx
284,321,tx
284,151,tx
284,151,tx
284,151,tx
337,150,tx
131,146,tx
131,146,tx
131,146,tx
131,146,tx
203,151,tx
203,151,tx
291,151,tx
291,80,tx
291,80,tx
291,80,tx
291,80,tx
298,111,tx
226,386,tx
234,301,tx
91,188,tx
274,151,tx
144,189,tx
144,189,tx
144,189,tx
144,189,tx
144,189,tx
371,189,tx
371,33,tx
371,33,tx
371,33,tx
147,151,tx
147,100,tx
147,100,tx
147,100,tx
147,100,tx
147,100,tx
